Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1961","1961","Head","81970000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1961","1961","hg/An","631","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1961","1961","tonnes","5174000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1962","1962","Head","83424000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1962","1962","hg/An","643","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1962","1962","tonnes","5365000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1963","1963","Head","87117008","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1963","1963","hg/An","647","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1963","1963","tonnes","5637000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1964","1964","Head","86284000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1964","1964","hg/An","658","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1964","1964","tonnes","5676000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1965","1965","Head","76458000","","Official data",""
"QL","Livestock Primary","231","United States of America","5417","Yield/Carcass Weight","1035","Meat, pig","1965","1965","hg/An","661","Fc","Calculated data",""
"QL","Livestock Primary","231","United States of America","5510","Production","1035","Meat, pig","1965","1965","tonnes","5053000","","Official data",""
"QL","Livestock Primary","231","United States of America","5320","Producing Animals/Slaughtered","1035","Meat, pig","1966","1966","Head","75382000","","Official data",""
